Title,Author,Publication_year,Author_Gender,First_or_third_person_narrative,First_narrative_gender,Original_language,fem_arg0,fem_arg1,mal_arg0,mal_arg1,fem_ratio,mal_ratio,Agency_Bias,relative_risk,Appearance_Bias
Little_Women,Louisa_May_Alcott,1868,Female,Third,-,English,6843,2847,3186,1775,0.706191951,0.642209232,-0.090602447,1.099629086,0.117017162
Pride_and_Prejudice,Jane_Austen,1813,Female,Third,-,English,3363,2093,1895,1517,0.616385631,0.555392732,-0.0989525,1.109819404,-0.355121277
The_Enchanted_April,Elizabeth_Von_Arnim,1922,Female,Third,-,English,3522,1958,1283,852,0.64270073,0.600936768,-0.064981974,1.069498097,-0.100650247
Cranford,Elizabeth_Gaskell,1853,Female,First,Female,English,1967,988,894,620,0.665651438,0.590488772,-0.112915952,1.1272889,-0.247078973
Anne_of_Green_Gables,Lucy_Maud_Montgomery,1908,Female,Third,-,English,3541,1931,876,542,0.647112573,0.617771509,-0.045341514,1.04749501,0.345860943
Sense_and_Sensibility,Jane Austen,1811,Female,Third,-,English,3409,2211,1322,1093,0.60658363,0.547412008,-0.097548993,1.108093394,-0.273868338
Northanger_Abbey,Jane Austen,1817,Female,Third,-,English,1965,1289,786,647,0.603872157,0.548499651,-0.091695743,1.100952673,-0.052611482
The_Secret_Garden,Frances Hodgson Burnett,1911,Female,Third,-,English,2844,1051,2577,1300,0.730166881,0.664689193,-0.089674963,1.09850873,-0.414880919
A_Room_with_a_View,E._M._Forsteer,1908,Male,Third,-,English,1978,978,1589,890,0.669147497,0.640984268,-0.042088223,1.043937473,-0.411323179
Alices_Adventures_in_Wonderland,Lewis_Carroll,1865,Male,Third,-,English,1121,327,287,109,0.774171271,0.724747475,-0.063840907,1.068194506,-0.406832831
Metamorphosis,Franz_Kafka,1915,Male,Third,-,German,391,174,910,504,0.692035398,0.643564356,-0.070041276,1.075316542,-0.033426961
The_Wonderful_Wizard_of_Oz,L_Frank_Baum,1900,Male,Third,-,English,781,366,727,448,0.680906713,0.618723404,-0.091324271,1.100502597,-0.599631002
The_Scarlet_Letter,Nathaniel Hawthorne,1850,Male,Third,-,English,1198,690,948,689,0.634533898,0.579108125,-0.087348798,1.095708851,0.259489536
A_Christmas_Carol_in_Prose,Charles Dickens,1843,Male,Third,-,English,125,42,1034,523,0.748502994,0.664097624,-0.112765574,1.127097835,0.509650617
Through_the_LookingGlass,Lewis Carroll,1871,Male,Third,-,English,1250,359,307,171,0.77688005,0.642259414,-0.173283683,1.209604769,-0.426241915
The_Wind_in_the_Willows,Kenneth Grahame,1908,Male,Third,-,English,101,50,2333,1174,0.668874172,0.665240947,-0.005431851,1.005461517,0.318666
Emma,Jane_Austen,1815,Female,Third,-,English,3818,2785,2427,1828,0.57822202,0.570387779,-0.013548846,1.013734938,-0.244532224
Mrs_Dalloway_in_Bond_Street,Virginia_Woolf,1923,Female,Third,-,English,146,53,31,13,0.733668342,0.704545455,-0.039694894,1.041335711,0.209892355
The_Blue_Castle,Lucy_Maud_Montgomery,1926,Female,Third,-,English,2581,1483,1256,755,0.635088583,0.624564893,-0.016570429,1.016849634,-0.595372421
Wuthering_Heights,Emily_Brontë,1847,Female,First,Male,English,2067,1329,2917,1853,0.608657244,0.611530398,0.004720479,0.995301699,-0.09886184
The_Murder_of_Roger_Ackroyd,Agatha Christie,1926,Female,First,Female,English,971,643,1884,1242,0.601610905,0.60268714,0.001788922,0.998214272,-0.301385205
Anthem,Ayn Rand,1938,Female,First,Male,English,5,9,94,79,0.357142857,0.543352601,0.521387283,0.657294833,0.575499256
The_Tale_of_Peter_Rabbit,Beatrix Potter,1902,Female,Third,-,English,9,3,63,33,0.75,0.65625,-0.125,1.142857143,3.004757141
The_Mysterious_Affair_at_Styles,Agatha Christie,1920,Female,First,Female,English,832,514,1348,797,0.618127786,0.628438228,0.016680114,0.983593547,-0.256474319
Uncle_Toms_Cabin,Harriet Beecher Stowe,1852,Female,Third,-,English,3422,1730,4249,2247,0.664208075,0.654094828,-0.015226022,1.015461439,0.029281988
Middlemarch,Mary Ann Evans,1871,Female,Third,-,English,5373,3060,8426,5015,0.637139808,0.62688788,-0.016090547,1.016353687,0.116998934
The_Souls_of_Black_Fork,W. E. B. Du Bois,1872,Male,Third,-,English,115,97,851,542,0.54245283,0.610911701,0.12620244,0.887939827,0.525859062
